Item,CCI,contributor,/cci_items/cci_item/definition,Note,Parameter,publishdate,creator,index,location,title,version,status,Type,publishdate2,version2
6,CCI-000003,DISA FSO,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","Document of Review, Comments, and Changes of access control policy",9/14/09,NIST,AC-1.2 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
6,CCI-000003,DISA FSO,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","Document of Review, Comments, and Changes of access control policy",9/14/09,NIST,AC-1 b 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
6,CCI-000003,DISA FSO,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","Document of Review, Comments, and Changes of access control policy",9/14/09,,,,,,draft,policy,5/14/14,5/14/14
7,CCI-000005,DISA FSO,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,,Record of distribution history of procedures for implementing access control policy,9/14/09,NIST,AC-1 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
7,CCI-000005,DISA FSO,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,,Record of distribution history of procedures for implementing access control policy,9/14/09,NIST,AC-1.1 (vi),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
7,CCI-000005,DISA FSO,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,,Record of distribution history of procedures for implementing access control policy,9/14/09,NIST,AC-1 a 2,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
7,CCI-000005,DISA FSO,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,,Record of distribution history of procedures for implementing access control policy,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
8,CCI-000006,DISA FSO,The organization reviews and updates the access control procedures in accordance with organization-defined frequency.,,Document of Changes of procedures for implementing access control policy,9/14/09,NIST,AC-1 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
8,CCI-000006,DISA FSO,The organization reviews and updates the access control procedures in accordance with organization-defined frequency.,,Document of Changes of procedures for implementing access control policy,9/14/09,NIST,AC-1.2 (iv),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
8,CCI-000006,DISA FSO,The organization reviews and updates the access control procedures in accordance with organization-defined frequency.,,Document of Changes of procedures for implementing access control policy,9/14/09,NIST,AC-1 b 2,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
8,CCI-000006,DISA FSO,The organization reviews and updates the access control procedures in accordance with organization-defined frequency.,,Document of Changes of procedures for implementing access control policy,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
9,CCI-000054,DISA FSO,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts.",,5/19/09,NIST,AC-10,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
9,CCI-000054,DISA FSO,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts.",,5/19/09,NIST,AC-10.1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
9,CCI-000054,DISA FSO,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts.",,5/19/09,NIST,AC-10,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
9,CCI-000054,DISA FSO,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts.",,5/19/09,,,,,,draft,technical,5/14/14,5/14/14
10,CCI-000055,DISA FSO,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,5/19/09,NIST,AC-10,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
10,CCI-000055,DISA FSO,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,5/19/09,NIST,AC-10.1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
10,CCI-000055,DISA FSO,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,5/19/09,NIST,AC-10,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
10,CCI-000055,DISA FSO,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,5/19/09,,,,,,draft,policy,5/14/14,5/14/14
11,CCI-000056,DISA FSO,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,,9/14/09,NIST,AC-11 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
11,CCI-000056,DISA FSO,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,,9/14/09,NIST,AC-11.1 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
11,CCI-000056,DISA FSO,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,,9/14/09,NIST,AC-11 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
11,CCI-000056,DISA FSO,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,,9/14/09,,,,,,draft,technical,5/14/14,5/14/14
12,CCI-000057,DISA FSO,The information system initiates a session lock after the organization-defined time period of inactivity.,,,5/19/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
12,CCI-000057,DISA FSO,The information system initiates a session lock after the organization-defined time period of inactivity.,,,5/19/09,NIST,AC-11.1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
12,CCI-000057,DISA FSO,The information system initiates a session lock after the organization-defined time period of inactivity.,,,5/19/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
12,CCI-000057,DISA FSO,The information system initiates a session lock after the organization-defined time period of inactivity.,,,5/19/09,,,,,,draft,technical,5/14/14,5/14/14
13,CCI-000058,DISA FSO,The information system provides the capability for users to directly initiate session lock mechanisms.,,,5/19/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
13,CCI-000058,DISA FSO,The information system provides the capability for users to directly initiate session lock mechanisms.,,,5/19/09,NIST,AC-11,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
13,CCI-000058,DISA FSO,The information system provides the capability for users to directly initiate session lock mechanisms.,,,5/19/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
13,CCI-000058,DISA FSO,The information system provides the capability for users to directly initiate session lock mechanisms.,,,5/19/09,,,,,,draft,technical,5/14/14,5/14/14
14,CCI-000059,DISA FSO,The organization defines the time period of inactivity after which the information system initiates a session lock.,,,9/14/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
14,CCI-000059,DISA FSO,The organization defines the time period of inactivity after which the information system initiates a session lock.,,,9/14/09,NIST,AC-11.1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
14,CCI-000059,DISA FSO,The organization defines the time period of inactivity after which the information system initiates a session lock.,,,9/14/09,NIST,AC-11 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
14,CCI-000059,DISA FSO,The organization defines the time period of inactivity after which the information system initiates a session lock.,,,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
15,CCI-000060,DISA FSO,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,,5/19/09,NIST,AC-11 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
15,CCI-000060,DISA FSO,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,,5/19/09,NIST,AC-11 (1).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
15,CCI-000060,DISA FSO,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,,5/19/09,NIST,AC-11 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
15,CCI-000060,DISA FSO,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,,5/19/09,,,,,,draft,technical,5/14/14,5/14/14
16,CCI-000061,DISA FSO,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,,,9/14/09,NIST,AC-14 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
16,CCI-000061,DISA FSO,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,,,9/14/09,NIST,AC-14.1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
16,CCI-000061,DISA FSO,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,,,9/14/09,NIST,AC-14 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
16,CCI-000061,DISA FSO,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,,,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
17,CCI-000062,DISA FSO,The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.,,,5/19/09,NIST,AC-14 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
17,CCI-000062,DISA FSO,The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.,,,5/19/09,NIST,AC-14 (1).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
17,CCI-000062,DISA FSO,The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.,,,5/19/09,,,,,,draft,policy,5/14/14,5/14/14
18,CCI-000232,DISA FSO,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",,,9/14/09,NIST,AC-14 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
18,CCI-000232,DISA FSO,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",,,9/14/09,NIST,AC-14.1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
18,CCI-000232,DISA FSO,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",,,9/14/09,NIST,AC-14 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
18,CCI-000232,DISA FSO,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",,,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
19,CCI-001559,DISA FSO,The organization identifies the individuals authorized to change the value of associated security attributes.,,,5/11/10,NIST,AC-16 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
19,CCI-001559,DISA FSO,The organization identifies the individuals authorized to change the value of associated security attributes.,,,5/11/10,NIST,AC-16 (2).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
19,CCI-001559,DISA FSO,The organization identifies the individuals authorized to change the value of associated security attributes.,,,5/11/10,NIST,AC-16 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
19,CCI-001559,DISA FSO,The organization identifies the individuals authorized to change the value of associated security attributes.,,,5/11/10,,,,,,draft,policy,5/14/14,5/14/14
20,CCI-001560,DISA FSO,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,,,5/11/10,NIST,AC-16 (4),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
20,CCI-001560,DISA FSO,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,,,5/11/10,NIST,AC-16 (4).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
20,CCI-001560,DISA FSO,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,,,5/11/10,NIST,AC-16 (4),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
20,CCI-001560,DISA FSO,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,,,5/11/10,,,,,,draft,policy,5/14/14,5/14/14
21,CCI-001424,DISA FSO,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,9/25/09,NIST,AC-16 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
21,CCI-001424,DISA FSO,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,9/25/09,NIST,AC-16 (1).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
21,CCI-001424,DISA FSO,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,9/25/09,NIST,AC-16 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
21,CCI-001424,DISA FSO,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,9/25/09,,,,,,draft,technical,5/14/14,5/14/14
22,CCI-001425,DISA FSO,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,9/25/09,NIST,AC-16 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
22,CCI-001425,DISA FSO,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,9/25/09,NIST,AC-16 (2).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
22,CCI-001425,DISA FSO,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,9/25/09,NIST,AC-16 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
22,CCI-001425,DISA FSO,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,9/25/09,,,,,,draft,technical,5/14/14,5/14/14
23,CCI-001426,DISA FSO,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.,,,9/25/09,NIST,AC-16 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
23,CCI-001426,DISA FSO,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.,,,9/25/09,NIST,AC-16 (3).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
23,CCI-001426,DISA FSO,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.,,,9/25/09,,,,,,draft,technical,5/14/14,5/14/14
24,CCI-001427,DISA FSO,The information system allows authorized users to associate security attributes with information.,,,9/25/09,NIST,AC-16 (4),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
24,CCI-001427,DISA FSO,The information system allows authorized users to associate security attributes with information.,,,9/25/09,NIST,AC-16 (4).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
24,CCI-001427,DISA FSO,The information system allows authorized users to associate security attributes with information.,,,9/25/09,,,,,,draft,technical,5/14/14,5/14/14
25,CCI-001428,DISA FSO,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
25,CCI-001428,DISA FSO,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,9/25/09,NIST,AC-16 (5).1 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
25,CCI-001428,DISA FSO,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
25,CCI-001428,DISA FSO,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,9/25/09,,,,,,draft,technical,5/14/14,5/14/14
26,CCI-001429,DISA FSO,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
26,CCI-001429,DISA FSO,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
26,CCI-001429,DISA FSO,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
26,CCI-001429,DISA FSO,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,9/25/09,,,,,,draft,policy,5/14/14,5/14/14
27,CCI-001430,DISA FSO,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
27,CCI-001430,DISA FSO,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
27,CCI-001430,DISA FSO,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",,,9/25/09,NIST,AC-16 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
27,CCI-001430,DISA FSO,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",,,9/25/09,,,,,,draft,policy,5/14/14,5/14/14
28,CCI-001396,DISA FSO,The organization defines security attributes for which the information system supports and maintains the bindings for information in storage.,,,9/22/09,NIST,AC-16,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
28,CCI-001396,DISA FSO,The organization defines security attributes for which the information system supports and maintains the bindings for information in storage.,,,9/22/09,NIST,AC-16.1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
28,CCI-001396,DISA FSO,The organization defines security attributes for which the information system supports and maintains the bindings for information in storage.,,,9/22/09,,,,,,draft,policy,5/14/14,5/14/14
29,CCI-001397,DISA FSO,The organization defines security attributes for which the information system supports and maintains the bindings for information in process.,,,9/22/09,NIST,AC-16,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
